ID,Genre,MovieID,Name,Popularity,Rate,Year,Genre_1,Genre_2,Genre_3,Genre_4,Genre_5,Genre_6,Genre_7
121,Action|Drama|War,2028,Saving Private Ryan ,188,4.016,1998,Action,Drama,War,,,,
322,Adventure|Animation|Children|Comedy|Musical,588,Aladdin ,183,3.7158,1992,Adventure,Animation,Children,Comedy,Musical,,
36,Comedy|Crime|Drama|Thriller,608,Fargo ,181,4.0166,1996,Comedy,Crime,Drama,Thriller,,,
401,Drama|Horror|Mystery,2762,"Sixth Sense, The ",179,3.743,1999,Drama,Horror,Mystery,,,,
472,Action|Adventure|Comedy|Romance|Thriller,380,True Lies ,178,3.427,1994,Action,Adventure,Comedy,Romance,Thriller,,
292,Mystery|Sci-Fi|Thriller,32,Twelve Monkeys (a.k.a. 12 Monkeys) ,177,3.8814,1995,Mystery,Sci-Fi,Thriller,,,,
471,Adventure|Animation|Children|Drama|Musical|IMAX,364,"Lion King, The ",172,3.8314,1994,Adventure,Animation,Children,Drama,Musical,IMAX,
85,Adventure|Comedy|Sci-Fi,1270,Back to the Future ,171,3.9064,1985,Adventure,Comedy,Sci-Fi,,,,
621,Action|Romance|Thriller,377,Speed ,171,3.4211,1994,Action,Romance,Thriller,,,,
101,Action|Comedy|Sci-Fi,1580,Men in Black (a.k.a. MIB) ,165,3.3394,1997,Action,Comedy,Sci-Fi,,,,
32,Adventure|Drama|Western,590,Dances with Wolves ,164,3.7622,1990,Adventure,Drama,Western,,,,
37,Action|Adventure|Mystery|Thriller,648,Mission: Impossible ,162,3.4568,1996,Action,Adventure,Mystery,Thriller,,,
470,Comedy,344,Ace Ventura: Pet Detective ,161,2.9317,1994,Comedy,,,,,,
22,Action|Comedy|Crime|Fantasy,367,"Mask, The ",157,3.0955,1994,Action,Comedy,Crime,Fantasy,,,
75,Horror|Sci-Fi,1214,Alien ,146,3.8562,1979,Horror,Sci-Fi,,,,,
323,Animation|Children|Fantasy|Musical|Romance|IMAX,595,Beauty and the Beast ,146,3.6918,1991,Animation,Children,Fantasy,Musical,Romance,IMAX,
1134,Action|Crime|Thriller,1036,Die Hard ,145,3.7724,1988,Action,Crime,Thriller,,,,
27,Comedy|Drama,500,Mrs. Doubtfire ,144,3.2708,1993,Comedy,Drama,,,,,
531,Action|Crime|Thriller,165,Die Hard: With a Vengeance ,144,3.4861,1995,Action,Crime,Thriller,,,,
84,Comedy|Fantasy|Romance,1265,Groundhog Day ,143,3.8182,1993,Comedy,Fantasy,Romance,,,,
69,Action|Adventure|Comedy|Fantasy|Romance,1197,"Princess Bride, The ",142,4.0915,1987,Action,Adventure,Comedy,Fantasy,Romance,,
233,Drama|Romance,1704,Good Will Hunting ,141,3.9291,1997,Drama,Romance,,,,,
17,Action|Adventure|Sci-Fi,316,Stargate ,140,3.2929,1994,Action,Adventure,Sci-Fi,,,,
89,Action|Adventure,1291,Indiana Jones and the Last Crusade ,140,3.9143,1989,Action,Adventure,,,,,
171,Action|Adventure|Sci-Fi,2628,Star Wars: Episode I - The Phantom Menace ,140,2.9714,1999,Action,Adventure,Sci-Fi,,,,
987,Drama|Romance,1721,Titanic ,140,3.2714,1997,Drama,Romance,,,,,
464,Action|Adventure|Comedy|Crime,153,Batman Forever ,137,2.854,1995,Action,Adventure,Comedy,Crime,,,
67,Adventure|Comedy|Fantasy,1136,Monty Python and the Holy Grail ,136,4.0221,1975,Adventure,Comedy,Fantasy,,,,
480,Comedy|Romance,597,Pretty Woman ,135,3.3778,1990,Comedy,Romance,,,,,
13,Adventure|Comedy,231,Dumb & Dumber (Dumb and Dumber) ,133,2.9323,1994,Adventure,Comedy,,,,,
588,Action|Crime|Drama|Thriller,293,Léon: The Professional (a.k.a. The Professional) (Léon) ,133,3.8947,1994,Action,Crime,Drama,Thriller,,,
1101,Drama,1193,One Flew Over the Cuckoo's Nest ,133,4.0752,1975,Drama,,,,,,
486,Action|Adventure|Thriller,10,GoldenEye ,132,3.3864,1995,Action,Adventure,Thriller,,,,
62,Crime|Mystery|Thriller,1089,Reservoir Dogs ,131,4.0916,1992,Crime,Mystery,Thriller,,,,
81,Action|Sci-Fi|Thriller,1240,"Terminator, The ",131,3.771,1984,Action,Sci-Fi,Thriller,,,,
147,Crime|Drama,2329,American History X ,129,4.0465,1998,Crime,Drama,,,,,
1136,Crime|Drama,1221,"Godfather: Part II, The ",129,4.1473,1974,Crime,Drama,,,,,
460,Children|Drama,34,Babe ,128,3.5703,1995,Children,Drama,,,,,
74,Crime|Drama,1213,Goodfellas ,126,4.1032,1990,Crime,Drama,,,,,
1028,Action|Adventure|Horror|Sci-Fi,1200,Aliens ,126,3.8254,1986,Action,Adventure,Horror,Sci-Fi,,,
728,Comedy|Drama|Sci-Fi,1682,"Truman Show, The ",125,3.592,1998,Comedy,Drama,Sci-Fi,,,,
1094,Action|Sci-Fi|Thriller,541,Blade Runner ,124,3.9677,1982,Action,Sci-Fi,Thriller,,,,
41,Action|Adventure|Romance|Thriller,736,Twister ,123,3.2439,1996,Action,Adventure,Romance,Thriller,,,
65,Children|Drama|Sci-Fi,1097,E.T. the Extra-Terrestrial ,122,3.6475,1982,Children,Drama,Sci-Fi,,,,
40,Action|Adventure|Thriller,733,"Rock, The ",121,3.5785,1996,Action,Adventure,Thriller,,,,
399,Action|Adventure|Comedy,2683,Austin Powers: The Spy Who Shagged Me ,121,3.0331,1999,Action,Adventure,Comedy,,,,
71,Crime|Drama|Sci-Fi|Thriller,1206,"Clockwork Orange, A ",120,3.8667,1971,Crime,Drama,Sci-Fi,Thriller,,,
180,Action|Comedy|Sci-Fi,2716,Ghostbusters (a.k.a. Ghost Busters) ,120,3.65,1984,Action,Comedy,Sci-Fi,,,,
60,Children|Comedy|Fantasy|Musical,1073,Willy Wonka & the Chocolate Factory ,119,3.7731,1971,Children,Comedy,Fantasy,Musical,,,
827,Children|Comedy,586,Home Alone ,116,2.9052,1990,Children,Comedy,,,,,
1030,Action|Adventure|Comedy|Sci-Fi,1527,"Fifth Element, The ",116,3.5776,1997,Action,Adventure,Comedy,Sci-Fi,,,
549,Action|Adventure|Sci-Fi,208,Waterworld ,115,2.8261,1995,Action,Adventure,Sci-Fi,,,,
670,Comedy|Drama|Fantasy|Romance|Thriller,587,Ghost ,115,3.3565,1990,Comedy,Drama,Fantasy,Romance,Thriller,,
381,Comedy|Drama,1968,"Breakfast Club, The ",113,3.6549,1985,Comedy,Drama,,,,,
539,Action|Crime|Thriller,185,"Net, The ",112,2.9732,1995,Action,Crime,Thriller,,,,
203,Crime|Drama,3147,"Green Mile, The ",111,3.991,1999,Crime,Drama,,,,,
19,Action|Crime|Drama|Thriller,349,Clear and Present Danger ,110,3.5727,1994,Action,Crime,Drama,Thriller,,,
481,Adventure|Children|Fantasy,2,Jumanji ,110,3.2818,1995,Adventure,Children,Fantasy,,,,
83,Horror,1258,"Shining, The ",109,3.945,1980,Horror,,,,,,
465,Drama|Horror,253,Interview with the Vampire: The Vampire Chronicles ,109,3.3578,1994,Drama,Horror,,,,,
723,Adventure|Drama|Sci-Fi,924,2001: A Space Odyssey ,109,3.8073,1968,Adventure,Drama,Sci-Fi,,,,
1179,Comedy,2918,Ferris Bueller's Day Off ,109,3.6606,1986,Comedy,,,,,,
134,Action|Adventure|Fantasy,2115,Indiana Jones and the Temple of Doom ,108,3.5,1984,Action,Adventure,Fantasy,,,,
599,Adventure|Drama|Sci-Fi,329,Star Trek: Generations ,108,3.3426,1994,Adventure,Drama,Sci-Fi,,,,
72,Action|Drama|War,1208,Apocalypse Now ,107,4.1121,1979,Action,Drama,War,,,,
108,Comedy|Crime,1732,"Big Lebowski, The ",106,3.7453,1998,Comedy,Crime,,,,,
321,Comedy|Drama|Romance,539,Sleepless in Seattle ,106,3.3962,1993,Comedy,Drama,Romance,,,,
378,Comedy|Romance,1923,There's Something About Mary ,105,3.5429,1998,Comedy,Romance,,,,,
12,Comedy,223,Clerks ,104,3.7308,1994,Comedy,,,,,,
462,Comedy|Romance,39,Clueless ,104,3.2212,1995,Comedy,Romance,,,,,
1093,Crime|Drama|Thriller,111,Taxi Driver ,104,4,1976,Crime,Drama,Thriller,,,,
313,Comedy|Romance,357,Four Weddings and a Funeral ,103,3.4369,1994,Comedy,Romance,,,,,
530,Drama|Thriller|War,161,Crimson Tide ,103,3.5728,1995,Drama,Thriller,War,,,,
1178,Comedy|Romance,2706,American Pie ,103,3.2039,1999,Comedy,Romance,,,,,
2,Action|Crime|Thriller,6,Heat ,102,3.8725,1995,Action,Crime,Thriller,,,,
78,Drama|War,1222,Full Metal Jacket ,102,3.9804,1987,Drama,War,,,,,
1159,Comedy|Crime|Drama,778,Trainspotting ,102,3.8627,1996,Comedy,Crime,Drama,,,,
587,Action|Drama|Sci-Fi|Thriller,292,Outbreak ,101,3.3663,1995,Action,Drama,Sci-Fi,Thriller,,,
633,Action|Adventure|Thriller,434,Cliffhanger ,101,2.9901,1993,Action,Adventure,Thriller,,,,
638,Drama|Thriller,454,"Firm, The ",101,3.4752,1993,Drama,Thriller,,,,,
98,Action|Adventure|Comedy,1517,Austin Powers: International Man of Mystery ,100,3.37,1997,Action,Adventure,Comedy,,,,
335,Drama|Romance,912,Casablanca ,100,4.12,1942,Drama,Romance,,,,,
197,Comedy|Drama|Fantasy,2997,Being John Malkovich ,99,3.8283,1999,Comedy,Drama,Fantasy,,,,
518,Comedy,104,Happy Gilmore ,99,3.303,1996,Comedy,,,,,,
604,Comedy|Romance,339,While You Were Sleeping ,98,3.398,1995,Comedy,Romance,,,,,
103,Crime|Film-Noir|Mystery|Thriller,1617,L.A. Confidential ,97,3.9278,1997,Crime,Film-Noir,Mystery,Thriller,,,
194,Adventure|Animation|Children|Comedy|Crime|Fantasy|Mystery,2987,Who Framed Roger Rabbit? ,97,3.4639,1988,Adventure,Animation,Children,Comedy,Crime,Fantasy,Mystery
722,Comedy|War,750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb ,97,4.134,1964,Comedy,War,,,,,
735,Adventure|Animation|Children|Comedy|Fantasy,3114,Toy Story 2 ,97,3.7113,1999,Adventure,Animation,Children,Comedy,Fantasy,,
729,Comedy|Drama|Romance,1784,As Good as It Gets ,96,3.5521,1997,Comedy,Drama,Romance,,,,
1170,Drama,1961,Rain Man ,96,3.6667,1988,Drama,,,,,,
162,Comedy|Crime,2502,Office Space ,94,3.9255,1999,Comedy,Crime,,,,,
1419,Animation|Children|Fantasy|Musical,551,"Nightmare Before Christmas, The ",93,3.4409,1993,Animation,Children,Fantasy,Musical,,,
44,Adventure|Children|Fantasy|Musical,919,"Wizard of Oz, The ",92,3.7717,1939,Adventure,Children,Fantasy,Musical,,,
584,Action|Crime|Thriller,288,Natural Born Killers ,92,3.1848,1994,Action,Crime,Thriller,,,,
730,Action|Romance|Sci-Fi|Thriller,1917,Armageddon ,92,2.913,1998,Action,Romance,Sci-Fi,Thriller,,,
1600,Adventure|Animation|Children|Comedy,2355,"Bug's Life, A ",92,3.3804,1998,Adventure,Animation,Children,Comedy,,,
1608,Comedy|Drama|Romance,2396,Shakespeare in Love ,92,3.6848,1998,Comedy,Drama,Romance,,,,
141,Comedy|Fantasy,2174,Beetlejuice ,91,3.3077,1988,Comedy,Fantasy,,,,,
182,Comedy|Drama|Fantasy|Romance,2797,Big ,91,3.6154,1988,Comedy,Drama,Fantasy,Romance,,,
355,Adventure|Drama,1259,Stand by Me ,91,3.9011,1986,Adventure,Drama,,,,,
1165,Action|Adventure|Sci-Fi|Thriller,1356,Star Trek: First Contact ,91,3.7802,1996,Action,Adventure,Sci-Fi,Thriller,,,
2146,Action|Horror,1387,Jaws ,91,3.9121,1975,Action,Horror,,,,,
727,Action|Adventure|Thriller,1610,"Hunt for Red October, The ",90,3.7444,1990,Action,Adventure,Thriller,,,,
61,Comedy,1080,Monty Python's Life of Brian ,89,3.764,1979,Comedy,,,,,,
291,Comedy|Crime|Thriller,21,Get Shorty ,89,3.4494,1995,Comedy,Crime,Thriller,,,,
119,Adventure|Comedy|Sci-Fi|Western,2012,Back to the Future Part III ,88,3.2159,1990,Adventure,Comedy,Sci-Fi,Western,,,
187,Action|Adventure|Sci-Fi|Thriller,2916,Total Recall ,88,3.5455,1990,Action,Adventure,Sci-Fi,Thriller,,,
391,Comedy|Drama|Romance|War,2324,Life Is Beautiful (La Vita è bella) ,88,4.0227,1997,Comedy,Drama,Romance,War,,,
492,Comedy,19,Ace Ventura: When Nature Calls ,88,2.6136,1995,Comedy,,,,,,
170,Action|Adventure|Comedy|Fantasy|Horror|Thriller,2617,"Mummy, The ",87,2.9425,1999,Action,Adventure,Comedy,Fantasy,Horror,Thriller,
404,Comedy,2791,Airplane! ,87,3.7471,1980,Comedy,,,,,,
835,Adventure|Comedy|Sci-Fi,2011,Back to the Future Part II ,87,3.3678,1989,Adventure,Comedy,Sci-Fi,,,,
361,Action|Comedy|Sci-Fi,1391,Mars Attacks! ,86,2.9767,1996,Action,Comedy,Sci-Fi,,,,
524,Comedy,141,"Birdcage, The ",86,3.4419,1996,Comedy,,,,,,
725,Drama,1246,Dead Poets Society ,86,3.8023,1989,Drama,,,,,,
1031,Drama|Sci-Fi|Thriller,1653,Gattaca ,86,3.8256,1997,Drama,Sci-Fi,Thriller,,,,
865,Comedy|Romance,1307,When Harry Met Sally... ,85,3.6588,1989,Comedy,Romance,,,,,
2419,Drama|Romance,1393,Jerry Maguire ,85,3.4353,1996,Drama,Romance,,,,,
77,Action|Comedy|Musical,1220,"Blues Brothers, The ",84,3.6905,1980,Action,Comedy,Musical,,,,
332,Mystery|Thriller,904,Rear Window ,84,4.119,1954,Mystery,Thriller,,,,,
473,Children|Comedy|Fantasy,410,Addams Family Values ,84,3.0119,1993,Children,Comedy,Fantasy,,,,
515,Action|Adventure|Thriller,95,Broken Arrow ,84,2.9405,1996,Action,Adventure,Thriller,,,,
76,Crime|Horror,1219,Psycho ,83,3.9157,1960,Crime,Horror,,,,,
724,Action|Romance,1101,Top Gun ,83,3.1446,1986,Action,Romance,,,,,
490,Crime|Drama,16,Casino ,82,3.7561,1995,Crime,Drama,,,,,
726,Drama|Sci-Fi,1584,Contact ,82,3.4878,1997,Drama,Sci-Fi,,,,,
1430,Comedy|Fantasy|Romance|Sci-Fi,788,"Nutty Professor, The ",82,2.622,1996,Comedy,Fantasy,Romance,Sci-Fi,,,
469,Drama,300,Quiz Show ,81,3.4691,1994,Drama,,,,,,
597,Comedy|Drama|Fantasy,317,"Santa Clause, The ",81,3.0864,1994,Comedy,Drama,Fantasy,,,,
1156,Action|Adventure|Sci-Fi,442,Demolition Man ,81,2.9753,1993,Action,Adventure,Sci-Fi,,,,
107,Action|Sci-Fi,1676,Starship Troopers ,80,3.2,1997,Action,Sci-Fi,,,,,
146,Drama|Fantasy|Romance,2291,Edward Scissorhands ,80,3.575,1990,Drama,Fantasy,Romance,,,,
504,Drama,62,Mr. Holland's Opus ,80,3.6375,1995,Drama,,,,,,
200,Adventure|Comedy|Fantasy,3052,Dogma ,79,3.4684,1999,Adventure,Comedy,Fantasy,,,,
864,Comedy|Drama|Romance,1247,"Graduate, The ",79,3.9367,1967,Comedy,Drama,Romance,,,,
100,Action|Crime|Drama|Thriller,1573,Face/Off ,77,3.2338,1997,Action,Crime,Drama,Thriller,,,
105,Drama|Mystery|Thriller,1625,"Game, The ",77,3.5065,1997,Drama,Mystery,Thriller,,,,
479,Animation|Children|Drama|Fantasy|Musical,594,Snow White and the Seven Dwarfs ,77,3.5195,1937,Animation,Children,Drama,Fantasy,Musical,,
603,Drama,337,What's Eating Gilbert Grape ,77,3.6364,1993,Drama,,,,,,
179,Animation|Comedy|Musical,2700,"South Park: Bigger, Longer and Uncut ",76,3.7105,1999,Animation,Comedy,Musical,,,,
353,Drama,1225,Amadeus ,76,4.0526,1984,Drama,,,,,,
495,Drama|Romance,25,Leaving Las Vegas ,76,3.5658,1995,Drama,Romance,,,,,
636,Comedy|Romance,440,Dave ,76,3.4605,1993,Comedy,Romance,,,,,
117,Action|Comedy|Crime|Drama,2000,Lethal Weapon ,75,3.5333,1987,Action,Comedy,Crime,Drama,,,
178,Action|Crime,2692,Run Lola Run (Lola rennt) ,75,3.8533,1998,Action,Crime,,,,,
415,Adventure|Comedy|Sci-Fi,3175,Galaxy Quest ,75,3.4667,1999,Adventure,Comedy,Sci-Fi,,,,
314,Adventure|Comedy|Western,368,Maverick ,74,3.4459,1994,Adventure,Comedy,Western,,,,
1484,Comedy,1485,Liar Liar ,74,2.8243,1997,Comedy,,,,,,
1102,Action|Adventure|Western,1201,"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) ",72,4.0417,1966,Action,Adventure,Western,,,,
342,Comedy|Crime,1079,"Fish Called Wanda, A ",71,3.8169,1988,Comedy,Crime,,,,,
862,Children|Comedy|Fantasy|Musical,1028,Mary Poppins ,71,3.7606,1964,Children,Comedy,Fantasy,Musical,,,
14,Comedy|Drama,235,Ed Wood ,70,3.5857,1994,Comedy,Drama,,,,,
193,Action|Crime|Drama|Sci-Fi|Thriller,2985,RoboCop ,70,3.2429,1987,Action,Crime,Drama,Sci-Fi,Thriller,,
474,Action|Thriller,474,In the Line of Fire ,70,3.6286,1993,Action,Thriller,,,,,
487,Comedy|Drama|Romance,11,"American President, The ",70,3.6,1995,Comedy,Drama,Romance,,,,
1475,Comedy|Horror|Mystery|Thriller,1407,Scream ,70,3.0429,1996,Comedy,Horror,Mystery,Thriller,,,
45,Drama|Mystery,923,Citizen Kane ,69,3.8986,1941,Drama,Mystery,,,,,
87,Comedy|Fantasy,1278,Young Frankenstein ,69,3.8986,1974,Comedy,Fantasy,,,,,
659,Comedy,520,Robin Hood: Men in Tights ,69,3.029,1993,Comedy,,,,,,
125,Adventure|Children|Comedy|Fantasy|Sci-Fi,2054,"Honey, I Shrunk the Kids ",68,2.6029,1989,Adventure,Children,Comedy,Fantasy,Sci-Fi,,
467,Drama|Romance|War|Western,266,Legends of the Fall ,68,3.3382,1994,Drama,Romance,War,Western,,,
977,Action|Adventure|Thriller,1370,Die Hard 2 ,68,3.2647,1990,Action,Adventure,Thriller,,,,
1400,Animation|Children|Drama|Musical|Romance,48,Pocahontas ,68,3.0294,1995,Animation,Children,Drama,Musical,Romance,,
1473,Comedy|Musical|Romance,1380,Grease ,68,2.9559,1978,Comedy,Musical,Romance,,,,
149,Action|Thriller,2353,Enemy of the State ,67,3.3582,1998,Action,Thriller,,,,,
165,Comedy|Crime|Thriller,2542,"Lock, Stock & Two Smoking Barrels ",67,3.9254,1998,Comedy,Crime,Thriller,,,,
461,Crime|Drama,36,Dead Man Walking ,67,3.7612,1995,Crime,Drama,,,,,
491,Drama|Romance,17,Sense and Sensibility ,67,3.6866,1995,Drama,Romance,,,,,
1034,Animation|Children|Comedy|Musical|Romance,2081,"Little Mermaid, The ",67,3.2985,1989,Animation,Children,Comedy,Musical,Romance,,
1167,Action|Adventure|Sci-Fi|Thriller,1544,"Lost World: Jurassic Park, The ",67,2.6269,1997,Action,Adventure,Sci-Fi,Thriller,,,
1190,Action|Crime|Drama,4262,Scarface ,67,3.6716,1983,Action,Crime,Drama,,,,
10,Action|Romance|Western,163,Desperado ,66,3.4697,1995,Action,Romance,Western,,,,
359,Comedy,1288,This Is Spinal Tap ,66,3.8939,1984,Comedy,,,,,,
656,Drama,508,Philadelphia ,66,3.4848,1993,Drama,,,,,,
31,Action|Drama|Western,553,Tombstone ,65,3.7231,1993,Action,Drama,Western,,,,
1140,Action|Crime|Drama,2194,"Untouchables, The ",65,3.8154,1987,Action,Crime,Drama,,,,
1157,Crime|Thriller,555,True Romance ,65,3.6769,1993,Crime,Thriller,,,,,
1158,Action|Adventure|Fantasy,653,Dragonheart ,65,3,1996,Action,Adventure,Fantasy,,,,
115,Drama,1954,Rocky ,64,3.6719,1976,Drama,,,,,,
610,Action|Crime|Fantasy|Thriller,353,"Crow, The ",64,3.5469,1994,Action,Crime,Fantasy,Thriller,,,
1138,Comedy|Crime,1234,"Sting, The ",64,3.8594,1973,Comedy,Crime,,,,,
1642,Drama|Horror|Thriller,2710,"Blair Witch Project, The ",64,2.625,1999,Drama,Horror,Thriller,,,,
1774,Musical|Romance,1035,"Sound of Music, The ",64,3.8125,1965,Musical,Romance,,,,,
2426,Action|Drama|Thriller,786,Eraser ,64,3.0625,1996,Action,Drama,Thriller,,,,
63,Drama|War,1090,Platoon ,63,3.873,1986,Drama,War,,,,,
177,Comedy|Horror|Musical|Sci-Fi,2657,"Rocky Horror Picture Show, The ",63,3.2063,1975,Comedy,Horror,Musical,Sci-Fi,,,
634,Comedy|Sci-Fi,435,Coneheads ,63,2.3175,1993,Comedy,Sci-Fi,,,,,
66,Action|Adventure|Sci-Fi|Thriller,1127,"Abyss, The ",62,3.3387,1989,Action,Adventure,Sci-Fi,Thriller,,,
222,Comedy|Western,3671,Blazing Saddles ,62,3.7742,1974,Comedy,Western,,,,,
360,Action|Western,1304,Butch Cassidy and the Sundance Kid ,62,3.8548,1969,Action,Western,,,,,
527,Adventure|Children,158,Casper ,62,2.7097,1995,Adventure,Children,,,,,
1166,Action|Adventure|Sci-Fi|Thriller,1374,Star Trek II: The Wrath of Khan ,62,3.6613,1982,Action,Adventure,Sci-Fi,Thriller,,,
1182,Fantasy|Horror|Mystery|Romance,3081,Sleepy Hollow ,62,3.3387,1999,Fantasy,Horror,Mystery,Romance,,,
1404,Action|Crime|Sci-Fi,173,Judge Dredd ,62,2.5968,1995,Action,Crime,Sci-Fi,,,,
1717,Comedy,3421,Animal House ,62,3.5968,1978,Comedy,,,,,,
30,Action|Adventure|Comedy|Romance,552,"Three Musketeers, The ",61,3.1803,1993,Action,Adventure,Comedy,Romance,,,
172,Action|Adventure|Sci-Fi,2640,Superman ,61,3.5082,1978,Action,Adventure,Sci-Fi,,,,
208,Comedy,3253,Wayne's World ,61,3.3115,1992,Comedy,,,,,,
218,Action|Sci-Fi|Thriller,3527,Predator ,61,3.4754,1987,Action,Sci-Fi,Thriller,,,,
319,Drama|Romance,509,"Piano, The ",61,3.4262,1993,Drama,Romance,,,,,
1596,Comedy|Drama|Fantasy,2321,Pleasantville ,61,3.3443,1998,Comedy,Drama,Fantasy,,,,
35,Animation|Children|Fantasy|Musical,596,Pinocchio ,60,3.2833,1940,Animation,Children,Fantasy,Musical,,,
92,Action|Crime,1377,Batman Returns ,60,2.9,1992,Action,Crime,,,,,
642,Action|Comedy|War,466,Hot Shots! Part Deux ,60,2.75,1993,Action,Comedy,War,,,,
1437,Drama|Mystery|Romance|Thriller,903,Vertigo ,60,3.9,1958,Drama,Mystery,Romance,Thriller,,,
1721,Adventure|Drama|Sci-Fi,3471,Close Encounters of the Third Kind ,60,3.6167,1977,Adventure,Drama,Sci-Fi,,,,
1776,Action|Comedy|Romance,2006,"Mask of Zorro, The ",60,2.8833,1998,Action,Comedy,Romance,,,,
97,Comedy|Crime|Romance,1500,Grosse Pointe Blank ,59,3.4746,1997,Comedy,Crime,Romance,,,,
99,Action|Adventure|Thriller,1552,Con Air ,59,2.8983,1997,Action,Adventure,Thriller,,,,
198,Comedy|Sci-Fi,3033,Spaceballs ,59,3.339,1987,Comedy,Sci-Fi,,,,,
350,Fantasy|Sci-Fi,1199,Brazil ,59,4.0508,1985,Fantasy,Sci-Fi,,,,,
1106,Crime|Film-Noir|Mystery|Thriller,1252,Chinatown ,59,4.0508,1974,Crime,Film-Noir,Mystery,Thriller,,,
1413,Action|Comedy|Crime|Thriller,420,Beverly Hills Cop III ,59,2.661,1994,Action,Comedy,Crime,Thriller,,,
1593,Comedy,2302,My Cousin Vinny ,59,3.1695,1992,Comedy,,,,,,
325,Comedy|Romance,708,"Truth About Cats & Dogs, The ",58,3.2931,1996,Comedy,Romance,,,,,
618,Action|Comedy,370,Naked Gun 33 1/3: The Final Insult ,58,2.931,1994,Action,Comedy,,,,,
983,Action|Thriller,1608,Air Force One ,58,3.2241,1997,Action,Thriller,,,,,
1103,Drama,1207,To Kill a Mockingbird ,58,4.0345,1962,Drama,,,,,,
1105,Comedy|Romance,1230,Annie Hall ,58,3.7586,1977,Comedy,Romance,,,,,
1474,Comedy,1394,Raising Arizona ,58,3.8966,1987,Comedy,,,,,,
1574,Action|Horror|Thriller,2167,Blade ,58,3.2069,1998,Action,Horror,Thriller,,,,
2394,Children|Drama|Fantasy|Romance,953,It's a Wonderful Life ,58,3.9138,1946,Children,Drama,Fantasy,Romance,,,
118,Action|Adventure|Children|Comedy|Fantasy,2005,"Goonies, The ",57,3.4035,1985,Action,Adventure,Children,Comedy,Fantasy,,
144,Crime|Drama|Thriller,2268,"Few Good Men, A ",57,3.7018,1992,Crime,Drama,Thriller,,,,
159,Adventure|Comedy,2470,Crocodile Dundee ,57,3.0351,1986,Adventure,Comedy,,,,,
333,Action|Adventure|Mystery|Romance|Thriller,908,North by Northwest ,57,4.0877,1959,Action,Adventure,Mystery,Romance,Thriller,,
351,Drama,1203,12 Angry Men ,57,4.0175,1957,Drama,,,,,,
