,1st Genre,Genre,MovieID,Name,Popularity,Rate,Year
29,Comedy,Comedy|Romance|Thriller,543,So I Married an Axe Murderer ,41,3.1463,1993
30,Action,Action|Adventure|Comedy|Romance,552,"Three Musketeers, The ",61,3.1803,1993
31,Action,Action|Drama|Western,553,Tombstone ,65,3.7231,1993
32,Adventure,Adventure|Drama|Western,590,Dances with Wolves ,164,3.7622,1990
33,Action,Action|Crime|Thriller,592,Batman ,189,3.3492,1989
34,Crime,Crime|Horror|Thriller,593,"Silence of the Lambs, The ",279,4.0538,1991
35,Animation,Animation|Children|Fantasy|Musical,596,Pinocchio ,60,3.2833,1940
36,Comedy,Comedy|Crime|Drama|Thriller,608,Fargo ,181,4.0166,1996
37,Action,Action|Adventure|Mystery|Thriller,648,Mission: Impossible ,162,3.4568,1996
38,Adventure,Adventure|Animation|Children|Fantasy|Musical,661,James and the Giant Peach ,49,3.4082,1996
39,Adventure,Adventure|Animation|Children|Comedy|Fantasy|Sci-Fi,673,Space Jam ,53,2.566,1996
40,Action,Action|Adventure|Thriller,733,"Rock, The ",121,3.5785,1996
41,Action,Action|Adventure|Romance|Thriller,736,Twister ,123,3.2439,1996
42,Action,Action|Adventure|Sci-Fi|Thriller,780,Independence Day (a.k.a. ID4) ,202,3.302,1996
43,Comedy,Comedy|Romance,804,She's the One ,8,3.25,1996
44,Adventure,Adventure|Children|Fantasy|Musical,919,"Wizard of Oz, The ",92,3.7717,1939
45,Drama,Drama|Mystery,923,Citizen Kane ,69,3.8986,1941
46,Action,Action|Adventure|Romance,940,"Adventures of Robin Hood, The ",8,3.875,1938
47,Drama,Drama|Fantasy|Romance,943,"Ghost and Mrs. Muir, The ",7,3.8571,1947
48,Drama,Drama,954,Mr. Smith Goes to Washington ,18,3.8889,1939
49,Adventure,Adventure|Children|Fantasy,1009,Escape to Witch Mountain ,9,3.0,1975
50,Animation,Animation|Children|Musical,1023,Winnie the Pooh and the Blustery Day ,13,3.4615,1968
51,Animation,Animation|Children|Musical,1024,"Three Caballeros, The ",6,3.6667,1945
52,Animation,Animation|Children|Fantasy|Musical,1025,"Sword in the Stone, The ",25,3.44,1963
53,Animation,Animation|Children|Drama|Musical,1029,Dumbo ,35,3.2571,1941
54,Adventure,Adventure|Animation|Children|Musical,1030,Pete's Dragon ,15,2.7333,1977
55,Adventure,Adventure|Children|Musical,1031,Bedknobs and Broomsticks ,24,3.375,1971
56,Adventure,Adventure|Animation|Children|Fantasy|Musical,1032,Alice in Wonderland ,40,3.25,1951
57,Comedy,Comedy|Drama,1042,That Thing You Do! ,42,3.1905,1996
58,Action,Action|Adventure,1049,"Ghost and the Darkness, The ",21,3.3333,1996
59,Comedy,Comedy|Drama,1060,Swingers ,36,3.6111,1996
60,Children,Children|Comedy|Fantasy|Musical,1073,Willy Wonka & the Chocolate Factory ,119,3.7731,1971
61,Comedy,Comedy,1080,Monty Python's Life of Brian ,89,3.764,1979
62,Crime,Crime|Mystery|Thriller,1089,Reservoir Dogs ,131,4.0916,1992
63,Drama,Drama|War,1090,Platoon ,63,3.873,1986
64,Crime,Crime|Mystery|Thriller,1092,Basic Instinct ,47,3.0213,1992
65,Children,Children|Drama|Sci-Fi,1097,E.T. the Extra-Terrestrial ,122,3.6475,1982
66,Action,Action|Adventure|Sci-Fi|Thriller,1127,"Abyss, The ",62,3.3387,1989
67,Adventure,Adventure|Comedy|Fantasy,1136,Monty Python and the Holy Grail ,136,4.0221,1975
68,Action,Action|Adventure|Sci-Fi,1196,Star Wars: Episode V - The Empire Strikes Back ,211,4.1043,1980
69,Action,Action|Adventure|Comedy|Fantasy|Romance,1197,"Princess Bride, The ",142,4.0915,1987
70,Action,Action|Adventure,1198,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) ,200,4.095,1981
71,Crime,Crime|Drama|Sci-Fi|Thriller,1206,"Clockwork Orange, A ",120,3.8667,1971
72,Action,Action|Drama|War,1208,Apocalypse Now ,107,4.1121,1979
73,Action,Action|Adventure|Sci-Fi,1210,Star Wars: Episode VI - Return of the Jedi ,196,4.0255,1983
74,Crime,Crime|Drama,1213,Goodfellas ,126,4.1032,1990
75,Horror,Horror|Sci-Fi,1214,Alien ,146,3.8562,1979
76,Crime,Crime|Horror,1219,Psycho ,83,3.9157,1960
77,Action,Action|Comedy|Musical,1220,"Blues Brothers, The ",84,3.6905,1980
78,Drama,Drama|War,1222,Full Metal Jacket ,102,3.9804,1987
79,Action,Action|Drama|Romance|War,1224,Henry V ,19,3.8947,1989
80,Drama,Drama|Romance,1226,"Quiet Man, The ",6,3.5,1952
81,Action,Action|Sci-Fi|Thriller,1240,"Terminator, The ",131,3.771,1984
82,Comedy,Comedy|Musical|War,1256,Duck Soup ,23,3.7391,1933
83,Horror,Horror,1258,"Shining, The ",109,3.945,1980
84,Comedy,Comedy|Fantasy|Romance,1265,Groundhog Day ,143,3.8182,1993
85,Adventure,Adventure|Comedy|Sci-Fi,1270,Back to the Future ,171,3.9064,1985
86,Action,Action|Adventure|Fantasy,1275,Highlander ,48,3.5625,1986
87,Comedy,Comedy|Fantasy,1278,Young Frankenstein ,69,3.8986,1974
88,Animation,Animation|Children|Fantasy|Musical,1282,Fantasia ,53,3.6415,1940
89,Action,Action|Adventure,1291,Indiana Jones and the Last Crusade ,140,3.9143,1989
90,Drama,Drama|Musical,1298,Pink Floyd: The Wall ,23,3.6957,1982
91,Horror,Horror,1348,"Nosferatu (Nosferatu, eine Symphonie des Grauens) ",16,3.4375,1922
92,Action,Action|Crime,1377,Batman Returns ,60,2.9,1992
93,Action,Action|Comedy|Crime|Drama|Sci-Fi,1396,Sneakers ,46,3.3478,1992
94,Action,Action|Romance|War|Western,1408,"Last of the Mohicans, The ",39,3.7436,1992
95,Comedy,Comedy|War,1445,McHale's Navy ,7,2.1429,1997
96,Action,Action|Comedy|Crime|Drama,1473,Best Men ,1,4.0,1997
97,Comedy,Comedy|Crime|Romance,1500,Grosse Pointe Blank ,59,3.4746,1997
98,Action,Action|Adventure|Comedy,1517,Austin Powers: International Man of Mystery ,100,3.37,1997
99,Action,Action|Adventure|Thriller,1552,Con Air ,59,2.8983,1997
100,Action,Action|Crime|Drama|Thriller,1573,Face/Off ,77,3.2338,1997
101,Action,Action|Comedy|Sci-Fi,1580,Men in Black (a.k.a. MIB) ,165,3.3394,1997
102,Action,Action|Adventure|Fantasy,1587,Conan the Barbarian ,31,3.129,1982
103,Crime,Crime|Film-Noir|Mystery|Thriller,1617,L.A. Confidential ,97,3.9278,1997
104,Crime,Crime|Drama|Mystery|Thriller,1620,Kiss the Girls ,13,3.0769,1997
105,Drama,Drama|Mystery|Thriller,1625,"Game, The ",77,3.5065,1997
106,Horror,Horror|Mystery|Thriller,1644,I Know What You Did Last Summer ,32,1.875,1997
107,Action,Action|Sci-Fi,1676,Starship Troopers ,80,3.2,1997
108,Comedy,Comedy|Crime,1732,"Big Lebowski, The ",106,3.7453,1998
109,Comedy,Comedy|Romance,1777,"Wedding Singer, The ",56,3.2321,1998
110,Comedy,Comedy,1793,Welcome to Woop-Woop ,2,4.0,1997
111,Crime,Crime|Drama,1804,"Newton Boys, The ",3,3.0,1998
112,Crime,Crime|Drama|Mystery|Thriller,1805,Wild Things ,31,2.9355,1998
113,Animation,Animation|Children|Fantasy|War,1920,Small Soldiers ,18,2.7222,1998
114,Action,Action|Drama|War,1927,All Quiet on the Western Front ,10,4.1,1930
115,Drama,Drama,1954,Rocky ,64,3.6719,1976
116,Adventure,Adventure|Fantasy|Musical,1967,Labyrinth ,42,3.7143,1986
117,Action,Action|Comedy|Crime|Drama,2000,Lethal Weapon ,75,3.5333,1987
118,Action,Action|Adventure|Children|Comedy|Fantasy,2005,"Goonies, The ",57,3.4035,1985
119,Adventure,Adventure|Comedy|Sci-Fi|Western,2012,Back to the Future Part III ,88,3.2159,1990
120,Animation,Animation|Children|Drama,2018,Bambi ,38,3.1842,1942
121,Action,Action|Drama|War,2028,Saving Private Ryan ,188,4.016,1998
122,Adventure,Adventure|Animation|Children|Fantasy,2033,"Black Cauldron, The ",8,3.625,1985
123,Adventure,Adventure|Children|Sci-Fi,2046,Flight of the Navigator ,24,3.125,1986
124,Action,Action|Animation|Children|Crime,2048,"Great Mouse Detective, The ",8,3.375,1986
125,Adventure,Adventure|Children|Comedy|Fantasy|Sci-Fi,2054,"Honey, I Shrunk the Kids ",68,2.6029,1989
126,Action,Action|Crime|Drama|Mystery|Thriller,2058,"Negotiator, The ",30,3.1667,1998
127,Animation,Animation|Children|Comedy|Musical,2078,"Jungle Book, The ",53,3.7358,1967
128,Adventure,Adventure|Animation|Children|Crime|Drama,2090,"Rescuers, The ",13,3.1538,1977
129,Adventure,Adventure|Children|Fantasy,2093,Return to Oz ,6,2.8333,1985
130,Action,Action|Adventure|Sci-Fi,2094,"Rocketeer, The ",39,3.1795,1991
131,Animation,Animation|Children|Musical,2096,Sleeping Beauty ,22,3.3636,1959
132,Adventure,Adventure|Animation|Children|Musical,2099,Song of the South ,6,3.3333,1946
133,Action,Action|Adventure|Sci-Fi,2105,Tron ,50,3.24,1982
134,Action,Action|Adventure|Fantasy,2115,Indiana Jones and the Temple of Doom ,108,3.5,1984
135,Adventure,Adventure|Animation|Children|Fantasy,2116,"Lord of the Rings, The ",15,3.0,1978
136,Animation,Animation|Children,2137,Charlotte's Web ,21,3.4762,1973
137,Adventure,Adventure|Animation|Children|Drama,2139,"Secret of NIMH, The ",21,3.3333,1982
138,Adventure,Adventure|Animation|Children|Comedy,2141,"American Tail, An ",18,3.0,1986
139,Adventure,Adventure|Fantasy|Romance,2143,Legend ,13,2.9231,1985
140,Adventure,Adventure|Children|Fantasy,2161,"NeverEnding Story, The ",43,3.4419,1984
141,Comedy,Comedy|Fantasy,2174,Beetlejuice ,91,3.3077,1988
142,Action,Action|Adventure|Fantasy,2193,Willow ,40,3.15,1988
143,Comedy,Comedy|Fantasy,2253,Toys ,20,2.25,1992
144,Crime,Crime|Drama|Thriller,2268,"Few Good Men, A ",57,3.7018,1992
145,Action,Action|Comedy|Crime|Thriller,2273,Rush Hour ,42,3.0714,1998
146,Drama,Drama|Fantasy|Romance,2291,Edward Scissorhands ,80,3.575,1990
147,Crime,Crime|Drama,2329,American History X ,129,4.0465,1998
148,Horror,Horror|Mystery|Thriller,2338,I Still Know What You Did Last Summer ,18,2.0,1998
149,Action,Action|Thriller,2353,Enemy of the State ,67,3.3582,1998
150,Action,Action|Adventure|Fantasy|Horror,2366,King Kong ,25,3.56,1933
151,Comedy,Comedy|Crime,2387,Very Bad Things ,16,3.375,1998
152,Crime,Crime|Horror|Thriller,2389,Psycho ,9,1.6667,1998
153,Comedy,Comedy|Drama,2395,Rushmore ,56,3.3929,1998
154,Action,Action|Adventure|Comedy|Romance,2406,Romancing the Stone ,54,3.3519,1984
155,Action,Action|Adventure|Children|Fantasy|Mystery|Thriller,2414,Young Sherlock Holmes ,11,3.3636,1985
156,Action,Action|Drama|War,2427,"Thin Red Line, The ",35,3.1714,1998
157,Adventure,Adventure|Comedy|Sci-Fi,2450,Howard the Duck ,16,2.0625,1986
158,Horror,Horror,2459,"Texas Chainsaw Massacre, The ",13,3.1538,1974
159,Adventure,Adventure|Comedy,2470,Crocodile Dundee ,57,3.0351,1986
160,Comedy,Comedy|Western,2478,¡Three Amigos! ,26,3.0,1986
161,Comedy,Comedy|Romance,2492,20 Dates ,7,3.0,1998
162,Comedy,Comedy|Crime,2502,Office Space ,94,3.9255,1999
163,Action,Action|Adventure|Sci-Fi,2528,Logan's Run ,24,3.1667,1976
164,Action,Action|Drama|Sci-Fi,2529,Planet of the Apes ,56,3.7321,1968
165,Comedy,Comedy|Crime|Thriller,2542,"Lock, Stock & Two Smoking Barrels ",67,3.9254,1998
166,Action,Action|Sci-Fi|Thriller,2571,"Matrix, The ",278,4.0647,1999
167,Comedy,Comedy|Crime,2580,Go ,39,3.8718,1999
168,Comedy,Comedy|Drama,2596,SLC Punk! ,12,3.6667,1998
169,Action,Action|Crime,2616,Dick Tracy ,26,2.7692,1990
170,Action,Action|Adventure|Comedy|Fantasy|Horror|Thriller,2617,"Mummy, The ",87,2.9425,1999
171,Action,Action|Adventure|Sci-Fi,2628,Star Wars: Episode I - The Phantom Menace ,140,2.9714,1999
172,Action,Action|Adventure|Sci-Fi,2640,Superman ,61,3.5082,1978
173,Action,Action|Sci-Fi,2641,Superman II ,49,2.898,1980
174,Horror,Horror,2644,Dracula ,9,3.0,1931
175,Drama,Drama|Horror|Sci-Fi,2648,Frankenstein ,11,3.7273,1931
176,Drama,Drama|Fantasy|Horror,2654,"Wolf Man, The ",5,3.4,1941
177,Comedy,Comedy|Horror|Musical|Sci-Fi,2657,"Rocky Horror Picture Show, The ",63,3.2063,1975
178,Action,Action|Crime,2692,Run Lola Run (Lola rennt) ,75,3.8533,1998
179,Animation,Animation|Comedy|Musical,2700,"South Park: Bigger, Longer and Uncut ",76,3.7105,1999
180,Action,Action|Comedy|Sci-Fi,2716,Ghostbusters (a.k.a. Ghost Busters) ,120,3.65,1984
181,Adventure,Adventure|Animation|Children|Drama|Sci-Fi,2761,"Iron Giant, The ",39,3.9231,1999
182,Comedy,Comedy|Drama|Fantasy|Romance,2797,Big ,91,3.6154,1988
183,Action,Action|Adventure|Fantasy,2826,"13th Warrior, The ",26,2.7308,1999
184,Drama,Drama|Romance,2858,American Beauty ,204,3.9314,1999
185,Adventure,Adventure|Fantasy,2872,Excalibur ,25,3.48,1981
186,Adventure,Adventure|Animation|Children,2899,Gulliver's Travels ,3,3.0,1939
187,Action,Action|Adventure|Sci-Fi|Thriller,2916,Total Recall ,88,3.5455,1990
188,Action,Action|Drama|War,2944,"Dirty Dozen, The ",32,3.9062,1967
189,Action,Action|Adventure|Thriller,2947,Goldfinger ,53,3.7358,1964
190,Action,Action|Adventure|Thriller,2948,From Russia with Love ,36,3.6667,1963
191,Action,Action|Adventure|Thriller,2949,Dr. No ,33,3.6061,1962
192,Action,Action|Crime|Drama|Thriller,2959,Fight Club ,218,4.1055,1999
193,Action,Action|Crime|Drama|Sci-Fi|Thriller,2985,RoboCop ,70,3.2429,1987
194,Adventure,Adventure|Animation|Children|Comedy|Crime|Fantasy|Mystery,2987,Who Framed Roger Rabbit? ,97,3.4639,1988
195,Action,Action|Adventure|Thriller,2991,Live and Let Die ,23,3.5652,1973
196,Action,Action|Adventure|Thriller,2993,Thunderball ,24,3.3333,1965
197,Comedy,Comedy|Drama|Fantasy,2997,Being John Malkovich ,99,3.8283,1999
198,Comedy,Comedy|Sci-Fi,3033,Spaceballs ,59,3.339,1987
199,Adventure,Adventure|Animation|Children|Comedy|Musical,3034,Robin Hood ,36,3.4167,1973
200,Adventure,Adventure|Comedy|Fantasy,3052,Dogma ,79,3.4684,1999
201,Drama,Drama|War,3053,"Messenger: The Story of Joan of Arc, The ",11,3.8182,1999
202,Action,Action|Drama|War,3062,"Longest Day, The ",11,3.9091,1962
203,Crime,Crime|Drama,3147,"Green Mile, The ",111,3.991,1999
204,Adventure,Adventure|Drama,3168,Easy Rider ,29,3.4483,1969
205,Drama,Drama|Mystery|Thriller,3176,"Talented Mr. Ripley, The ",49,3.2041,1999
206,Comedy,Comedy,3243,Encino Man ,15,2.2667,1992
207,Comedy,Comedy|Crime,3247,Sister Act ,36,2.9167,1992
208,Comedy,Comedy,3253,Wayne's World ,61,3.3115,1992
209,Comedy,Comedy|Horror|Mystery|Thriller,3273,Scream 3 ,29,2.5517,2000
210,Drama,Drama|Mystery|Thriller,3386,JFK ,31,3.3548,1991
211,Action,Action|Children|Fantasy,3439,Teenage Mutant Ninja Turtles II: The Secret of the Ooze ,13,2.5385,1991
212,Action,Action|Adventure|Children|Comedy|Fantasy,3440,Teenage Mutant Ninja Turtles III ,14,1.8571,1993
213,Action,Action|Drama|War,3441,Red Dawn ,14,3.3571,1984
214,Comedy,Comedy|Drama|War,3448,"Good Morning, Vietnam ",43,3.6744,1987
215,Comedy,Comedy,3450,Grumpy Old Men ,29,3.1724,1993
216,Adventure,Adventure|Fantasy|Romance,3479,Ladyhawke ,18,3.2778,1985
217,Adventure,Adventure|Comedy|Fantasy,3489,Hook ,53,3.2075,1991
218,Action,Action|Sci-Fi|Thriller,3527,Predator ,61,3.4754,1987
219,Action,Action|Adventure|Drama,3578,Gladiator ,170,3.7882,2000
220,Comedy,Comedy,3617,Road Trip ,41,2.9024,2000
221,Action,Action|Adventure|Thriller,3639,"Man with the Golden Gun, The ",18,3.4444,1974
222,Comedy,Comedy|Western,3671,Blazing Saddles ,62,3.7742,1974
223,Action,Action|Adventure|Sci-Fi,3702,Mad Max ,38,3.3158,1979
224,Action,Action|Adventure|Sci-Fi|Thriller,3703,"Road Warrior, The (Mad Max 2) ",40,3.95,1981
225,Action,Action|Crime|Drama|Thriller,3729,Shaft ,3,4.0,1971
226,Action,Action|Adventure|Comedy|Fantasy,3740,Big Trouble in Little China ,28,3.7143,1986
227,Action,Action|Crime|Thriller,3744,Shaft ,19,2.5263,2000
228,Action,Action|Adventure|Sci-Fi,3793,X-Men ,133,3.5338,2000
229,Comedy,Comedy,3809,What About Bob? ,35,3.1714,1991
230,Adventure,Adventure|Animation|Children|Sci-Fi,4006,Transformers: The Movie ,7,3.1429,1986
231,Comedy,Comedy|Drama|War,5060,M*A*S*H (a.k.a. MASH) ,46,3.8913,1970
232,Crime,Crime|Drama,318,"Shawshank Redemption, The ",317,4.3281,1994
233,Drama,Drama|Romance,1704,Good Will Hunting ,141,3.9291,1997
234,Action,Action|Crime|Thriller,6874,Kill Bill: Vol. 1 ,131,3.7252,2003
235,Action,Action|Crime|Drama|Thriller,8798,Collateral ,43,3.5581,2004
236,Action,Action|Comedy,46970,Talladega Nights: The Ballad of Ricky Bobby ,27,2.9259,2006
237,Crime,Crime|Drama|Thriller,48516,"Departed, The ",106,4.0283,2006
238,Action,Action|Crime|Drama|IMAX,58559,"Dark Knight, The ",148,4.0473,2008
239,Comedy,Comedy,60756,Step Brothers ,28,3.3571,2008
240,Action,Action|Drama|War,68157,Inglourious Basterds ,87,3.9195,2009
241,Action,Action|Comedy|Horror,71535,Zombieland ,52,3.7115,2009
242,Drama,Drama|Mystery|Thriller,74458,Shutter Island ,66,3.7727,2010
243,Comedy,Comedy|Documentary,77455,Exit Through the Gift Shop ,13,3.7692,2010
244,Action,Action|Crime|Drama|Mystery|Sci-Fi|Thriller|IMAX,79132,Inception ,142,3.8873,2010
245,Crime,Crime|Drama|Thriller,80489,"Town, The ",21,3.7143,2010
246,Documentary,Documentary,80906,Inside Job ,12,4.1667,2010
247,Comedy,Comedy,86345,Louis C.K.: Hilarious ,9,3.8889,2010
248,Drama,Drama,89774,Warrior ,11,3.5455,2011
249,Action,Action|Adventure|Crime|IMAX,91529,"Dark Knight Rises, The ",75,3.8267,2012
250,Drama,Drama|Thriller,91658,"Girl with the Dragon Tattoo, The ",41,3.3171,2011
251,Action,Action|Drama|Western,99114,Django Unchained ,70,3.7429,2012
252,Comedy,Comedy|Crime|Drama,106782,"Wolf of Wall Street, The ",53,3.7736,2013
253,Sci-Fi,Sci-Fi|IMAX,109487,Interstellar ,72,3.8333,2014
254,Drama,Drama,112552,Whiplash ,38,3.8158,2014
255,Crime,Crime|Drama|Thriller,114060,The Drop ,3,2.6667,2014
256,Drama,Drama|Sci-Fi|Thriller,115713,Ex Machina ,28,3.6429,2015
257,Action,Action|Adventure|Sci-Fi|Thriller,122882,Mad Max: Fury Road ,46,3.6522,2015
258,Documentary,Documentary,131724,The Jinx: The Life and Deaths of Robert Durst ,1,5.0,2015
259,Drama,Drama,31,Dangerous Minds ,38,3.0526,1995
260,Action,Action|Crime|Drama|War,647,Courage Under Fire ,29,3.2414,1996
261,Action,Action|Adventure|Comedy|War,688,Operation Dumbo Drop ,9,2.2222,1995
262,Adventure,Adventure|Animation|Comedy,720,Wallace & Gromit: The Best of Aardman Animation ,27,4.037,1996
263,Action,Action|Adventure|Sci-Fi|Thriller,849,Escape from L.A. ,44,2.7955,1996
264,Comedy,Comedy|Drama|Musical|Romance,914,My Fair Lady ,35,3.9429,1964
265,Drama,Drama,1093,"Doors, The ",37,3.2703,1991
266,Drama,Drama,1124,On Golden Pond ,13,3.5385,1981
267,Drama,Drama|War,1263,"Deer Hunter, The ",43,3.6977,1978
268,Drama,Drama|War,1272,Patton ,33,4.0303,1970
269,Children,Children|Drama|Fantasy,1302,Field of Dreams ,56,3.4107,1989
270,Adventure,Adventure|Sci-Fi,1371,Star Trek: The Motion Picture ,45,2.9778,1979
271,Animation,Animation|Children|Comedy|Romance,2080,Lady and the Tramp ,55,3.2727,1955
272,Action,Action|Horror|Sci-Fi|Thriller,2288,"Thing, The ",45,3.8667,1982
273,Comedy,Comedy|Romance,2424,You've Got Mail ,50,2.94,1998
274,Adventure,Adventure|Sci-Fi|Thriller,2851,Saturn 3 ,4,3.25,1980
275,Horror,Horror|Sci-Fi,3024,Piranha ,7,2.5714,1978
276,Comedy,Comedy|Drama|Romance,3210,Fast Times at Ridgemont High ,42,3.3333,1982
277,Drama,Drama,3949,Requiem for a Dream ,96,3.7604,2000
278,Comedy,Comedy|Horror,4518,The Lair of the White Worm ,4,3.5,1988
279,Adventure,Adventure|Children|Comedy,5048,Snow Dogs ,6,2.1667,2002
280,Action,Action|Sci-Fi|Thriller,5181,Hangar 18 ,2,4.5,1980
281,Action,Action|Horror|Mystery|Sci-Fi,5746,Galaxy of Terror (Quest) ,1,5.0,1981
282,Drama,Drama|Horror|Sci-Fi|Thriller,5764,Looker ,1,4.0,1981
283,Sci-Fi,Sci-Fi,5919,Android ,2,4.5,1982
284,Comedy,Comedy|Drama|Romance,6238,Green Card ,9,2.5556,1990
285,Action,Action|Horror|Sci-Fi,6835,Alien Contamination ,1,5.0,1980
286,Action,Action,7899,Master of the Flying Guillotine (Du bi quan wang da po xue di zi) ,1,4.0,1975
287,Action,Action|Sci-Fi,7991,Death Race 2000 ,3,3.6667,1975
288,Horror,Horror|Sci-Fi,26409,"Clonus Horror, The ",2,2.5,1979
289,Fantasy,Fantasy|Horror,70946,Troll 2 ,2,2.5,1990
290,Action,Action|Drama|Sci-Fi|Thriller,72378,2012 ,20,2.45,2009
291,Comedy,Comedy|Crime|Thriller,21,Get Shorty ,89,3.4494,1995
292,Mystery,Mystery|Sci-Fi|Thriller,32,Twelve Monkeys (a.k.a. 12 Monkeys) ,177,3.8814,1995
293,Comedy,Comedy|Drama|Thriller,45,To Die For ,32,3.2188,1995
294,Comedy,Comedy|Drama|Romance,52,Mighty Aphrodite ,28,3.4286,1995
295,Comedy,Comedy|Drama|Romance,58,"Postman, The (Postino, Il) ",37,3.9459,1994
296,Comedy,Comedy|Drama,106,Nobody Loves Me (Keiner liebt mich) ,1,4.0,1994
297,Comedy,Comedy,125,Flirting With Disaster ,12,3.5,1996
298,Adventure,Adventure|Children|Fantasy,126,"NeverEnding Story III, The ",7,2.0,1994
299,Documentary,Documentary,162,Crumb ,17,4.0588,1994
300,Comedy,Comedy|Drama,171,Jeffrey ,6,3.8333,1995
301,Comedy,Comedy,176,Living in Oblivion ,13,4.2308,1995
302,Thriller,Thriller,190,Safe ,5,2.8,1995
303,Drama,Drama|Romance,215,Before Sunrise ,24,3.9583,1995
304,Drama,Drama|Romance,222,Circle of Friends ,16,3.75,1995
305,Comedy,Comedy|Drama|Romance,232,Eat Drink Man Woman (Yin shi nan nu) ,14,3.7857,1994
306,Crime,Crime|Drama,247,Heavenly Creatures ,21,3.8571,1994
307,Drama,Drama|Fantasy|Romance,265,Like Water for Chocolate (Como agua para chocolate) ,33,3.9091,1992
308,Comedy,Comedy|Drama|Thriller,319,Shallow Grave ,20,3.5,1994
309,Comedy,Comedy,342,Muriel's Wedding ,33,3.1515,1994
310,Comedy,Comedy|Drama,345,"Adventures of Priscilla, Queen of the Desert, The ",36,3.4722,1994
311,Comedy,Comedy,348,Bullets Over Broadway ,30,3.5333,1994
312,Comedy,Comedy|Drama|Romance,351,"Corrina, Corrina ",17,3.1176,1994
313,Comedy,Comedy|Romance,357,Four Weddings and a Funeral ,103,3.4369,1994
314,Adventure,Adventure|Comedy|Western,368,Maverick ,74,3.4459,1994
315,Comedy,Comedy|Romance,417,Barcelona ,13,3.6923,1994
316,Comedy,Comedy|Drama,450,With Honors ,7,3.0,1994
317,Drama,Drama,475,In the Name of the Father ,25,4.24,1993
318,Comedy,Comedy|Mystery,492,Manhattan Murder Mystery ,14,3.6429,1993
319,Drama,Drama|Romance,509,"Piano, The ",61,3.4262,1993
320,Drama,Drama,538,Six Degrees of Separation ,12,3.5,1993
321,Comedy,Comedy|Drama|Romance,539,Sleepless in Seattle ,106,3.3962,1993
322,Adventure,Adventure|Animation|Children|Comedy|Musical,588,Aladdin ,183,3.7158,1992
323,Animation,Animation|Children|Fantasy|Musical|Romance|IMAX,595,Beauty and the Beast ,146,3.6918,1991
324,Adventure,Adventure|Western,599,"Wild Bunch, The ",11,3.8182,1969
325,Comedy,Comedy|Romance,708,"Truth About Cats & Dogs, The ",58,3.2931,1996
326,Documentary,Documentary,759,Maya Lin: A Strong Clear Vision ,2,3.5,1994
327,Drama,Drama|Mystery|Western,800,Lone Star ,19,4.1053,1996
328,Comedy,Comedy|Drama|Romance,892,Twelfth Night ,13,3.4615,1996
329,Comedy,Comedy|Drama|Romance,898,"Philadelphia Story, The ",29,4.2414,1940
